University,Location,Mission,Tuition,TuitionIS,UndergradEnroll,Choice
Onondaga Community College,"Syracuse, NY","Onondaga Community College makes high quality educational programs and services accessible to our diverse citizenry, empowering individuals to explore and discover their inherent potential and to transform themselves to live, work and thrive in our global community.",17036,4570,2197,0
Otis College of Art and Design,"Los Angeles, CA","Otis prepares diverse students of art and design to enrich our world through their creativity, their skill, and their vision.",62628,41100,152,0
Pacific Lutheran University,"Tacoma, WA","PLU seeks to educate students for lives of thoughtful inquiry, service, leadership and care - for other people, for their communities and for the Earth.",53308,39080,610,0
Pacific Northwest College of Art,"Portland, OR",Pacific Northwest College of Art prepares students for a life of creative practice.,50770,32820,79,0
Pacific Rim Christian University,"Honolulu, HI","Pacific Rim Christian University, an institution of higher education, exists to disciple emerging Christian leaders by developing their theology, ministry skills, and character in order to win souls, plant fruitful churches, and lead as exemplary ambassadors for Christ in the ministry and marketplace.",25716,9960,29,0
Pacific University,"Forest Grove, OR","A diverse and sustainable community dedicated to discovery and excellence in teaching, scholarship and practice, Pacific University inspires students to think, care, create, and pursue justice in our world.",55606,40120,430,0
Palau Community College,"Koror, PW","Palau Community College is an accessible public educational institution helping to meet the technical, academic, cultural, social, and economic needs of students and communities by promoting learning opportunities and developing personal excellence.",9031,2640,146,0
Panola College,"Carthage, TX","Panola College is dedicated to providing excellence in education. The range of educational offerings includes university transfer programs, technical and workforce programs, instruction designed to increase academic proficiencies, and continuing education to enrich lives and improve skills.  Our aim is to help each student achieve success and to contribute to the further development of society.",16450,600,307,1
Paul Quinn College,"Dallas, TX","The mission of the College is to provide a quality, faith-based education that addresses the academic, social and Christian development of students & prepares them to be servant leaders and agents of change in the global marketplace.",17918,5818,103,0
Peru State College,"Peru, NE","In educating the individual to the benefit of society, Peru State College cultivates the capacity and propensity for life-long learning by fostering independent inquiry and promoting the value of knowledge and discovery. Through innovative undergraduate and graduate programs, Nebraska's first college continues its commitment to making a vital contribution to the future of the region and the state.",18561,4800,260,0
Pfeiffer University,"Misenheimer, NC","Established in 1885, Pfeiffer University is a globally engaged, regional university distinctive for its transformational undergraduate experiences and leadership in professional and graduate programs that fill demonstrated needs at its campuses in Misenheimer, Charlotte and Raleigh-Durham, and online.  Vested in its history as a United Methodist-related university and propelled by an innovative faculty and staff, Pfeiffer prepares its students for a lifetime of achievement, scholarship, spirituality and service.",43195,28000,176,0
Philander Smith College,"Little Rock, AR","The mission of Philander Smith College is to graduate academically accomplished students who are grounded as advocates for social justice, determined to intentionally change the world for the better.",25390,11804,287,0
Piedmont International University,"Winston-Salem, NC","Piedmont International University is an established provider of quality, Bible-centered higher education for effective lifetime ministry. We are driven by our love for students and alumni and are committed to their success. We serve churches by equipping leaders to obey the Great Commandment and fulfill the Great Commission. We will grow in influence to become an internationally recognized leader in innovative, Bible-centered higher education for effective ministry in a constantly changing world.",20174,8850,28,0
Pierce College-Fort Steilacoom,"Lakewood, WA",Pierce College creates quality educational opportunities for a diverse community of learners to thrive in an evolving world.,17266,3393,721,1
Point University,"West Point, GA",The mission of Point University is to educate students for Christ-centered service and leadership  throughout the world.,30400,18100,320,0
Pontifical College Josephinum,"Columbus, OH","The Pontifical College Josephinum is a Roman Catholic seminary whose mission is to prepare men for the ordained priesthood through human, spiritual, intellectual, and pastoral formation. The seminary consists of two academic divisions: The College of Liberal Arts and The School of Theology, which includes a Pre-Theology Program. The Jospehinum is a pontifical institution immediately subject to the Holy See, through the Apostolic Nuncio, and governed by the Board of Trustees. Its programs follow the norms established by the Code of Canon Law, the Congregation for Catholic Education, and the United States Conference of Catholic Bishops. Continuing the vision of its founder, Msgr. Joseph Jessing, the Josephinum seeks to prepare priests for the new evalgelization and to serve the pastoral needs of the Church. In fidelity to this vision, the Jospehinum provides resources to prepare candidates for the priesthood, enabling them to respond to the particular needs of their local communities. The Jospehinum shares its resources with the wider Church by promoting vocations and by offering continuing education to celergy and laity.",39742,21298,12,0
Presbyterian College,"Clinton, SC","The compelling purpose of Presbyterian College, as a church-related college, is to develop within the framework of Christian faith the mental, physical, moral, and spiritual capacities of each student in preparation for a lifetime of personal and vocational fulfillment and responsible contribution to our democratic society and the world community.",50886,34282,276,0
Prescott College,"Prescott, AZ","It is the mission of Prescott College to educate students of diverse ages and backgrounds to understand, thrive in, and enhance our world community and environment. We regard learning as a continuing process and strive to provide an education that will enable students to live productive lives while achieving a balance between self-fulfillment and service to others. Students are encouraged to think critically and act ethically with sensitivity to both the human community and the biosphere. Our philosophy stresses experiential learning and self-direction within an interdisciplinary curriculum.",40089,27528,45,0
Presentation College,"Aberdeen, SD","Welcoming people of all faiths,  Presentation College challenges learners toward  academic excellence and, in the Catholic tradition,  the development of the whole person.",31680,18710,126,0
Principia College,"Elsah, IL","""The Principia shall seek to serve the Cause of Christian Science through appropriate channels open to it as an educational institution."" (Education at The Principia, page 228). Principia is a Christian Science community of practice where all members are students, teachers, and healers.  Through transformative opportunities, a challenging curriculum, and character education based on the teachings of Christian Science, we examine, test, and strengthen our faith while developing the skills and understanding requisite for excellence.  As global, outward-looking, inspired learners, we serve and better the world.",41010,27480,99,0
Rabbi Jacob Joseph School,"Edison, NJ","Rabbi Jacob Joseph School seek to train students in the skills required for understanding, studying and mastering the Talmud and the considerable body of traditional Jewish Law and thought.",19200,11700,23,0
Rabbinical Academy Mesivta Rabbi Chaim Berlin,"Brooklyn, NY","Rabbinical Academy Mesivta Rabbi Chaim Berlin seeks to train students in the skills required for understanding, studying and mastering the Talmud and the considerable body of traditional Jewish thought. At the same time we are committed to the understanding that knowledge is a means to a larger end. We seek therefore to help students build a world outlook drawn from the ethical and moral concepts of Judaism. If scholarship is to have a significant value it must orient its students to a way of life that, by its own definition, is good and moral.",19450,12450,38,0
Rabbinical College Beth Shraga,"Monsey, NY","Rabbinical College Beth Shraga seek to train students in the skills required for understanding, studying and mastering the Talmud and the considerable body of traditional Jewish thought. At the same time we are committed to the understanding that knowledge is a means to a larger end. We seek therefore to help students build a world outlook drawn from the ethical and moral concepts of Judaism. If scholarship is to have a significant value it must orient its students to a way of life that, by its own definition, is good and moral.",21850,12100,23,0
Rabbinical College Bobover Yeshiva Bnei Zion,"Brooklyn, NY","The Rabbinical College Bobover Yeshiva aims to carry forward the chain of Jewish learning and career training in an environment where education is personal, but rigorous and challenging. The Yeshiva defines its purpose as teaching students Torah learning skills in order to foster creative scholarship and provide the community with Talmudists, scholars, and well-educated laymen.  We identify the following specific mission elements: 1.  Train students in the study and analytical interpretation of the classic texts of Judaism.  Foster reasoning skills, proficiency in textual analysis, the capacity for legal analysis, and a deftness in the application of advanced logic to methods of argumentation. 2.  Prepare students for service careers as Yeshiva teachers, melamdim, mechanchim and maggidei shiur in a wide range of formats. 3.  Provide students with the education for pursuing advanced rabbinic degrees that lead to college level teaching or practical rabbinics. 4.  Develop in the student a strong moral dimension by fostering an ethical sensibility through the study of Mussar, devotional texts and Talmudic Aggadata. 5.  Foster in the student a contemplative spirit, an awareness of the life of the mind and its encouragement. 6.  Train those with exceptional gifts for higher research in Talmud.",16050,7750,50,0
Rabbinical College of America,"Morristown, NJ","Rabbinical College of America seeks to train students in the skills required for understanding, studying and mastering the Talmud and the considerable body of traditional Jewish thought.",22600,11100,26,0
Rabbinical College of Long Island,"Long Beach, NY","Rabbinical College of Long Island seeks to train students in the skills required for understanding, studying and mastering the Talmud and the considerable body of traditional Jewish thought. At the same time we are committed to the understanding that knowledge is a means to a larger end. We seek therefore to help students build a world outlook drawn from the ethical and moral concepts of Judaism. If scholarship is to have a significant value it must orient its students to a way of life that, by its own definition, is good and moral.",17700,8450,40,0
Rabbinical College of Ohr Shimon Yisroel,"Brooklyn, NY","TO PRODUCE STUDENTS WHO HAVE A FIRM COMMITMENT TO THEIR HERITAGE, A STRONG CONNECTION TO TALMUDIC SCHOLARSHIP AND A DEDICATION TO THE BETTERMENT OF THEIR FELLOW HUMAN BEING AND THEIR COMMUNITY.",17000,12000,21,0
Rabbinical College Ohr Yisroel,"Brooklyn, NY","MISSION AND PURPOSE:  Rabbinical College Ohr Yisroel aims to transmit the  chain of Jewish learning and career advancement in an environment where education is personal, yet rigorous and challenging.  Rabbinical College Ohr Yisroel strives to temper the intense learning schedule with various outlets  and activities, offering the students an opportunity to unwind.  The Yeshiva defines its purpose as teaching students Torah learning skills in order to nurture creative scholarship and provide the community with Talmudists, scholars, and well educated laymen.  We identify the following specific mission elements: 1. Train students in the study and analytical study of the classic texts of Judaism.  Foster reasoning skills, proficiency in textual analysis, the capacity for legal analysis, and deftness in the application of advanced logic to techniques of argumentation.  2. Enable students to gain knowledge and skills for service careers as Yeshiva teachers, educators, and lecturers, in a wide range of  formats.  3. Provide students with the education for pursuing  advanced rabbinic degrees that will develop into higher degrees in teaching or practical rabbinics.  4. Inculcate in the student a strong moral awareness by fostering an ethical sensibility through the stud of Mussar, devotional texts, and Talmudic Aggadata.  5. Foster in the student an introspective spirit, an awareness of the life of the mind and its  encouragement.  Cultivate a sense of awe and curiosity  about life, and a desire to contemplate the central questions about man's purpose and his pursuit of the good. 6. Train those with exceptional gifts for higher research in Talmud.",14850,9000,37,0
Rabbinical College Telshe,"Wickliffe, OH","The aims and philosophy of Telshe Yeshiva emanate from its history, encompassing the time tested methods of the past as well as the needs of the present. Young men, born and raised in all parts of the United States and Canada, South and Central America, Europe, Africa and Israel, arrive on campus with various backgrounds, but with a common desire to attain a high level of Talmudic Scholarship, as well as the inherent ability to cope with a demanding program of studies. In the years that these people will spend at the College, it is expected that they will develop habits of scholarship, techniques of independent research, and most essential, a love of learning which will stand them in good stead throughout their lives. There is another objective that has always been part of the Telshe Yeshiva; a graduate must possess those qualities of character and mind which mark him as being a concerned, involved member of the Jewish community, and a productive member of society as a whole. Leadership in community affairs, education and in civic matters has always been the hallmark of the Telshe graduate - in addition to the world - renowned scholarship of so many of its former students.",17600,10400,11,0
Rabbinical Seminary of America,"Flushing, NY","Since 1933,the Rabbinical Seminary of America has been fulfilling its two-fold objective; to provide young people with an outstanding education of the highest caliber, and to equip them with the training and commitment to serve in leadership positions for communities throughout the New York area and beyond.",19600,9800,74,0
Radford University,"Radford, VA","Radford University serves the Commonwealth of Virginia and the nation through a wide range of academic, cultural, human service, and research programs. First and foremost, the university emphasizes teaching and learning and the process of learning in its commitment to the development of mature, responsible, well-educated citizens. Radford University develops students' creative and critical thinking skills, teaches students to analyze problems and implement solutions, helps students discover their leadership styles, and fosters their growth as leaders. Toward these ends, the university is student-focused and promotes a sense of caring and of meaningful interaction among all members of the University community. Research is viewed as a vital corollary to the teaching and learning transaction as it sustains and enhances the ability to teach effectively. Radford University believes in the dynamics of change and has a strong commitment to continuous review, evaluation, and improvement in the curriculum and all aspects of the University, so as to meet the changing needs of society.",22586,6991,1734,1
Rainy River Community College,"International Falls, MN","Rainy River Community College serves its communities by guiding learners to achieve their educational, career, personal, and civic goals.",14877,4681,58,0
Randall University,"Moore, OK","Randall University is a Christian institution of higher education committed to the intellectual, spiritual, social, moral, and physical development of its students.  It seeks to prepare students to serve the Lord Jesus Christ, both in the church and in society at large.",24982,9980,58,0
Randolph College,"Lynchburg, VA","Randolph College prepares students to engage the world critically and creatively, live and work honorably, and experience life abundantly.",52350,36160,174,0
Ranken Technical College,"Saint Louis, MO","Ranken Technical College is a private, nonprofit, degree-granting institution of higher learning whose primary mission is to provide the comprehensive education and training necessary to prepare students for employment and advancement in a variety of technical fields.",25239,14232,448,0
Reading Hospital School of Health Sciences,"Reading, PA","The mission of Reading Hospital School of Health Sciences is to provide educational programs that develop competent and compassionate professionals capable of providing high-quality healthcare services to individuals, families and communities.",21888,11306,22,0
Rensselaer Polytechnic Institute,"Troy, NY","Rensselaer educates the leaders of tomorrow for technologically based careers. We celebrate discovery, and the responsible application of technology, to create knowledge and global prosperity.",68244,49520,1494,0
Rhodes College,"Memphis, TN","Rhodes College aspires to graduate students with a lifelong passion for learning, a compassion for others, and the ability to translate academic study and personal concern into effective leadership and action in their communities and the world. We will achieve our aspiration through four strategic imperatives:  Student Access To attract and retain a talented, diverse student body and engage these students in a challenging, inclusive and culturally-broadening college experience.  Student Learning To ensure our faculty and staff have the talent, the time and the resources to inspire and involve our students in meaningful study, research and service.  Student Engagement To enhance student opportunities for learning in Memphis.  Student Inspiration To provide a residential place of learning that inspires integrity and high achievement through its beauty, its emphasis on values, its Presbyterian history, and its heritage as a leader in the liberal arts and sciences.",59754,44632,493,0
Robert Morris University,"Moon Township, PA","Robert Morris University is a student-centered institution that transforms lives by building knowledge, skills, and citizenship, all of which focus on the achievement of one's personal and professional goals. Engaged learning, within a highly supportive environment, enables our students to develop strong communication skills, excel within collaborative settings, effectively address complex problems with innovative solutions, and lead with integrity and compassion throughout their lives and careers in a diverse and rapidly changing world.",44836,27320,819,0
Roberts Wesleyan College,"Rochester, NY","As a community of learners committed to historic Christianity, Roberts Wesleyan College seeks to prepare thoughtful, spiritually mature, service-oriented people who will help transform society.",43774,28486,210,0
Rust College,"Holly Springs, MS","Rust College is a historically Black, co-educational, senior liberal arts college founded in 1866 by the Freedman’s Aid Society of the Methodist Episcopal Church to offer quality programs in business, education, humanities, science and math, and social science to prepare students for leadership and service in a global society.",16100,9500,319,0
Saint Louis Christian College,"Florissant, MO","Saint Louis Christian College pursues excellence in the Word and develops servant leaders for urban, suburban, rural, and global ministry.",20140,10850,14,0
Saint Peter's University,"Jersey City, NJ","Saint Peter's University, inspired by its Jesuit, Catholic identity, commitment to individual attention and grounding in the liberal arts, educates a diverse community of learners in undergraduate, graduate and professional programs to excel intellectually, lead ethically, serve compassionately and promote justice in our ever-changing urban and global environment",52448,34130,617,0
Salem College,"Winston-Salem, NC","Salem College, a liberal arts college for women, values its students as individuals, develops their unique potential, and prepares them to change the world.",44665,27040,197,0
Salem International University,"Salem, WV","The mission of the University is to prepare global citizens with broad knowledge, marketable professional skills, and the ability to make decisions with integrity and an international perspective.",25080,14400,122,0
Salish Kootenai College,"Pablo, MT",The mission of Salish Kootenai College is to provide quality postsecondary educational opportunities for Native Americans locally and from throughout the United States. The College will promote community and individual development and perpetuate the cultures of the Confederated Tribes of the Flathead Nation.,16854,5076,138,0
Sam Houston State University,"Huntsville, TX","Sam Houston State University provides high quality education, scholarship, and service to qualified students for the benefit of regional, state, national and international constituencies.",21236,5172,2741,1
Savannah College of Art and Design,"Savannah, GA","The Savannah College of Art and Design exists to prepare talented students for professional careers, emphasizing learning through individual attention in a positively oriented university environment.",55146,35190,1921,0
Scripps College,"Claremont, CA","The mission of Scripps College is “to educate women to develop their intellects and talents through active participation in a community of scholars, so that as graduates they may contribute to society through public and private lives of leadership, service, integrity, and creativity.”",68464,50766,247,0
Seton Hall University,"South Orange, NJ","Seton Hall University is a major Catholic university. In a diverse and collaborative environment it focuses on academic and ethical development. Seton Hall students are prepared to be leaders in their professional and community lives in a global society and are challenged by outstanding faculty, an evolving technologically advanced setting and values-centered curricula.",55366,37100,1200,0
Shasta Bible College and Graduate School,"Redding, CA","MISSION OF THE COLLEGE  The mission of Shasta Bible College is to equip students for life, witness and vocational Christian service by cultivating a compassion for the souls of men, a comprehension of truth based upon God's infallible Word, a capacity to maintain intellectual, moral, ethical and spiritual integrity and a passion to fulfill our Lord's final command (Matt. 28:19,20) as Bible expositors, pastors, Biblical counselors, Christian educators, evangelists, missionaries, Christian school teachers and local church workers.",25900,11200,8,0
Shawnee State University,"Portsmouth, OH","To reflect the culture at Shawnee State University, express why we exist, what we value, and our aspirations for the future our mission statement underwent an update. The revised statement is, ""We prepare today's students to succeed in tomorrow's world"".",22011,6251,859,0
Sheridan College,"Sheridan, WY",Creating student success and making a difference in our communities through educational leadership.,13423,2136,595,1
Sh'or Yoshuv Rabbinical College,"Lawrence, NY","TO PRODUCE STUDENTS WHO HAVE  A FIRM COMMITMENT TO THEIR HERITAGE, A STRONG CONNECTION TO TALMUDIC SCHOLARSHIP AND A DEDICATION TO THE BETTERMENT OF THEIR FELLOW HUMAN BEINGS AND COMMUNITIES.",19560,9000,2,0
Sierra Nevada College,"Incline Village, NV","Our graduates will be scholars of and contributors to a sustainable world.  SNC combines the liberal arts and professional preparedness through an interdisciplinary curriculum which emphasizes entrepreneurial thinking and environmental, social, economic, and educational sustainability.",47082,30321,87,0
Skagit Valley College,"Mount Vernon, WA","Skagit Valley College provides opportunities for students in pursuit of their educational and employment goals, while contributing to the economic and cultural enrichment of our communities.",18000,3800,723,0
Soka University of America,"Aliso Viejo, CA",The mission of Soka University of America is to foster a steady stream of global citizens committed to living a contributive life.,45592,29372,60,0
South Dakota School of Mines and Technology,"Rapid City, SD","OUR VISION is for the South Dakota School of Mines and Technology to be recognized as an exceptional engineering and science university.   OUR MISSION is to prepare leaders in engineering and science; to advance knowledge and its application; and to serve the state of South Dakota, the region, and the nation.",24880,7340,483,0
South Georgia State College,"Douglas, GA","South Georgia State College, a state college of the University System of Georgia, is a multi-campus, student-centered institution offering high-quality associate and select baccalaureate degree programs. The institution provides innovative teaching and learning experiences, a rich array of student activities and athletic programs, access to unique ecological sites, and residential options to create a diverse, globally-focused, and supportive learning environment.",16517,2181,876,1
South Georgia Technical College,"Americus, GA","As a member of the Technical College System of Georgia and a residential institution of higher education, it is the mission of South Georgia Technical College to prepare individuals for success in the workforce by providing accessible, high-quality associate of applied science degrees, diplomas, technical certificates of credit, and non-credit programs and services that support the needs of citizens, businesses, and industries within our service delivery area in Southwest Georgia.  Statement of Purpose  To realize the distinctiveness of its mission, South Georgia Technical College is committed to:  * Providing a broad range of campus based and on-line instructional credit courses that lead to an associate of applied science degree, diploma, or technical certificate of credit as well as non-credit course offerings and services which support workforce development. * Supporting learner success through quality student services. * Promoting economic development through partnerships with business, industry, government, and local communities. * Providing accessible educational facilities and state-of-the-art equipment and technology. * Providing a qualified faculty and staff. * Providing administrative support through analysis, planning, and budgeting. Revised December 2008",6819,2136,493,0
Southeastern Baptist College,"Laurel, MS","The purpose of Southeastern Baptist College is to glorify God by providing quality post-secondary education from a biblical world view in a Christian atmosphere, thereby developing Christian growth in students and preparing them for service in the Kingdom of God.",9390,4700,10,0
Southeastern Baptist Theological Seminary,"Wake Forest, NC",Southeastern Baptist Theological Seminary seeks to glorify the Lord Jesus Christ by equipping students to serve the Church and fulfill the Great Commission.,16623,9960,31,0
Southeastern Bible College,"Birmingham, AL","The mission of Southeastern Bible College is to produce graduates who are biblically grounded, spiritually mature, and culturally relevant.",20923,11340,15,0
Southern California Seminary,"El Cajon, CA","The mission of Southern California Seminary is to bring glory to God by assisting local churches to equip believers of various cultures and languages to live and minister biblically based on the inerrant Word of God. This equipping includes building biblical knowledge, Christian character, and ministry skills-all at modest tuition.",30400,13860,7,0
Southern Illinois University-Carbondale,"Carbondale, IL","SIU embraces a unique tradition of access and opportunity, inclusive excellence, innovation in research and creativity, and outstanding teaching focused on nurturing student success.  As a nationally ranked public research university and regional economic catalyst, we create and exchange knowledge to shape future leaders, improve our communities, and transform lives.",27708,8691,1672,1
Southern Union State Community College,"Wadley, AL","Southern Union State Community College, an open admission, public two-year college and member of the Alabama Community College System, provides quality and relevant teaching and learning in academic, technical, and health science programs that are affordable, accessible, equitable, and responsive to the diverse needs of its students, community, business, industry, and government.",13002,3510,1112,0
Southern University and A & M College,"Baton Rouge, LA","The mission of Southern University and A&M College, an Historically Black, 1890 land-grant institution, is to provide opportunities for a diverse student population to achieve a high-quality, global educational experience, to engage in scholarly, research, and creative activities, and to give meaningful public service to the community, the state, the nation, and the world so that Southern University graduates are competent, informed, and productive citizens.",22328,4973,1022,1
Southwest Mississippi Community College,"Summit, MS","Southwest Mississippi Community College provides academic,  career, technical, and continuing education, meeting the diverse needs of the population at a reasonable cost. SMCC provides community services and promotes economic development through consultative and work-force training.",9250,2480,605,0
Southwest Texas Junior College,"Uvalde, TX","Mission Statement: Southwest Texas Junior College is a comprehensive, public college serving eleven counties in Southwest Texas. The College provides accessible, affordable, high-quality education that prepares students to successfully transfer to senior colleges and universities; enter the job market; pursue their professional and personal goals; and contribute to the economic growth of the region.",15873,2832,1130,1
Southwestern Assemblies of God University,"Waxahachie, TX","The purpose of Southwestern Assemblies of God University is to prepare undergraduate and graduate students spiritually, academically, professionally, and cross culturally so as to  successfully fill evangelistic, missionary and church ministry roles and to provide quality educational and professional Christian service wherever needed throughout the world.",33732,18900,328,0
Southwestern Michigan College,"Dowagiac, MI",The mission of Southwestern Michigan College is to serve our community by providing affordable local access to high quality postsecondary career preparation and college education - including the total college life experience.,18312,4658,568,0
Spalding University,"Louisville, KY","Spalding University is a diverse community of learners dedicated to meeting the needs of the times in the tradition of the Sisters of Charity of Nazereth through quality undergraduate and graduate liberal and professional studies, grounded in spiritual values, with emphasis on service and the promotion of peace and justice.",37112,24338,168,0
Spelman College,"Atlanta, GA","Spelman College, a historically Black College for women and a global leader in the education of women of African descent, is dedicated to academic excellence in the liberal arts and sciences and the intellectual, creative, ethical and leadership potential of its students. Spelman empowers the whole person to engage the many cultures of the world and inspires a commitment to positive social change.",46409,23626,529,0
Spencerian College-Lexington,"Lexington, KY","The mission of Spencerian College is to provide men and women with quality training and education for careers in healthcare professions. Spencerian College seeks to provide a pathway for students to academically advance by offering programs that range from the certificate level to the bachelor’s degree level. These opportunities provide for growth and development in their respective career fields. This mission is met through providing: • A favorable environment for learning and the development of critical thinking skills utilizing a student-centered approach; • Community service and service-learning opportunities for students to promote social awareness and responsibility; • Faculty that is academically and professionally qualified to prepare students for their careers; • An experienced administration that fosters new ideas and concepts for continued improvement of the college and its programs of study; • Comprehensive self-assessment, ensuring relevance to the needs and demands of the healthcare industry and of the community, and ensuring effectiveness in preparing the graduate for career success; • Career services for graduates that provide resources and support to assist with career goals; • A professionally staffed Learning Resource Center that provides books, periodicals, and electronic databases with full-text journal articles and e-books to meet the needs for programs offered.",38318,17940,10,0
Spring Arbor University,"Spring Arbor, MI","""Spring Arbor University is a community of learners distinguished by our lifelong involvement in the study and application of the liberal arts, total commitment to Jesus Christ as the perspective for learning and critical participation in the contemporary world.""",38556,26130,303,0
Springfield College,"Springfield, MA","The mission of Springfield College is to educate students in spirit, mind, and body for leadership in service to humanity.",50365,34980,541,0
St Andrews University,"Laurinburg, NC","The University's mission is to offer students an array of pre-professional and liberal arts and sciences programs of study that create a life transforming educational opportunity which is practical in its application, global in its scope, and multi-disciplinary in its general education core. Students will acquire a depth of knowledge and expertise in their chosen field of study, balanced by breadth of knowledge across various disciplines. Special emphasis is placed on enhancing oral and written communication, and critical thinking skills.  The University awards degrees at the associate, bachelor and master levels, and offers students educational opportunities at locations in Florida and North Carolina. Traditional classroom, online, and hybrid learning environments are available. Opportunities exist for students to draw on the courses and programs of study at both locations through online courses and/or periods of residence at either campus. Webber's programs in Florida focus on the worldwide business environment, and emphasize development of skills in administration and strategic planning, applied modern business practices, and entrepreneurship. The St. Andrews locations offer an array of traditional undergraduate liberal arts and sciences and pre-professional programs of study.",43995,24874,201,0
St. Gregory's University,"Shawnee, OK","St. Gregory's University promotes the education of the whole person in the context of a Christian community in which students are encouraged to develop a love of learning and to live lives of balance, generosity, and integrity.",35162,21300,100,0
St. John's College,"Santa Fe, NM","St. John's College is a community dedicated to liberal education. Such education seeks to free human beings from prejudice and unexamined opinion, to help them reflect on the nature of things and on the ends and means of human endeavors, to prepare them to meet the known and unknown challenges the future will present, and to enable them to make thoughtful choices in public and private life.   Students at St. John's engage in this education by participating in the activities of its community of learning. The central activity is the reading and discussion, in small classes, of the great works of the West. This study is supported by and intertwined with the study of the elements of languages, mathematics, science, and music. In Santa Fe there is also a program that focuses on the great works of the East.   Through this singular discussion-based classroom experience, anchored in the rigor of the subject matters, we seek to develop in our students an ability to deal with complex issues through both cooperative inquiry and independent thinking. We hope to open the world to them in such a way that they become excellent citizens, parents, partners, colleagues, and friends",63690,49758,42,0
St. John's College,"Annapolis, MD","St. John's College is a community dedicated to liberal education. Such education seeks to free human beings from prejudice and unexamined opinion, to help them reflect on the nature of things and on the ends and means of human endeavors, to prepare them to meet the known and unknown challenges the future will present, and to enable them to make thoughtful choices in public and private life.   Students at St. John's engage in this education by participating in the activities of its community of learning. The central activity is the reading and discussion, in small classes, of the great works of the West. This study is supported by and intertwined with the study of the elements of languages, mathematics, science, and music. In Santa Fe there is also a program that focuses on the great works of the East.  Through this singular discussion-based classroom experience, anchored in the rigor of the subject matters, we seek to develop in our students an ability to deal with complex issues through both cooperative inquiry and independent thinking. We hope to open the world to them in such a way that they become excellent citizens, parents, partners, colleagues, and friends.",63621,49758,90,0
Stanford University,"Stanford, CA","http://exploredegrees.stanford.edu/stanfordsmission/  From the Stanford University Founding Grant, November 11, 1885:  ...the Nature, Object, and Purposes of the Institution Hereby Founded, to Be:  Its nature, that of a university with such seminaries of learning as shall make it of the highest grade, including mechanical institutes, museums, galleries of art, laboratories, and conservatories, together with all things necessary for the study of agriculture in all its branches, and for mechanical training, and the studies and exercises directed to the cultivation and enlargement of the mind:  Its object, to qualify its students for personal success, and direct usefulness in life;  And its purposes, to promote the public welfare by exercising an influence in behalf of humanity and civilization, teaching the blessings of liberty regulated by law, and inculcating love and reverence for the great principles of government as derived from the inalienable rights of man to life, liberty, and the pursuit of happiness.",66696,47331,1525,0
Sterling College,"Craftsbury Common, VT",The Sterling College community combines structured academic study with experiential challenges and plain hard work to build responsible problem solvers who become stewards of the environment as they pursue productive lives.,48755,32595,26,0
Stetson University,"DeLand, FL","Our mission at Stetson University is to provide an excellent education in a creative community where learning and values meet, and to foster in students the qualities of mind and heart that will prepare them to reach their full potential as informed citizens of local communities and the world.   At Stetson, the art of teaching is practiced through programs solidly grounded in a tradition of liberal learning that stimulates critical thinking, imaginative inquiry, creative expression, and lively intellectual debate.  The art of learning is enhanced through small interactive classes, close student-faculty alliances, and collaborative approaches that provide the foundation for rewarding careers and advanced study in selective graduate and professional programs.  We embrace diverse methodologies to foster effective communication, information and technological literacy, and aesthetic appreciation.  We encourage the development of informed convictions, independent judgment, and lifelong commitments to learning that are characteristic features of the enlightened citizen.  In bringing together learning and values, the University encourages all of its members to demonstrate personal integrity; to develop an appreciation for the spiritual dimension of life; to embrace leadership in an increasingly complex, interdependent, and technological world; and to commit to active forms of social responsibility.",59766,42890,759,0
Stillman College,"Tuscaloosa, AL","Stillman College is a liberal arts institution, committed to fostering academic excellence and providing high-quality educational opportunities for diverse populations with disparate levels of academic preparation.  Primarily a teaching institution, Stillman has a proud and evolving tradition of preparing students for leadership, scholarship, and service in society.  	Stillman has a historical and covenantal affiliation with the Presbyterian Church (U. S. A.), whose Reformed tradition and commitment to the cultivation of the mind correspond well with the mission of the College.  The College via its constituents is committed to service for the common good.  The entire academic enterprise, undergirded with the principles of faith and ethical integrity, manifests constructive compassion as it confidently pursues the best in scholarly inquiry and creative endeavors.  	The College's purpose is to provide a student-centered, fulfilling, technologically enriched educational experience that will along other outcomes, produce graduates who will:  -	Think carefully and logically about, and express with clarity their observations, experiences, and findings concerning the world they live in via written and spoken forms;  -	Exhibit competence in their disciplines, character in their work with others, and compassion toward all people consistent with an education in a Christian environment;  -	Qualify for admission to and success in graduate and professional schools for entry into selected careers;  -	Manifest the ability to do independent research, demonstrate objective scholarship, and exhibit creative production/performance appropriate to their disciplines.",22232,9548,128,0
